,Conference,Publication Date,Publication Count
175,ACC 2018 - American Control Conference,2018,5
176,ACC 2021 - American Control Conference,2021,3
177,ACC 2021 - American Control Conference,2020,2
178,AISTATS 2021 - 24th International Conference on Artificial Intelligence and Statistics,2021,5
179,ARITH 2019 - 26th IEEE Symposium on Computer Arithmetic,2019,5
180,ASIACRYPT 2021 - 27th Annual International Conference on the Theory and Application of Cryptology and Information Security,2021,5
181,AVSS 2021 - 17th IEEE International Conference on Advanced Video and Signal-based Surveillance,2021,5
182,Advances in Neural Information Processing Systems,2018,1
183,Advances in Neural Information Processing Systems,2019,1
184,Advances in Neural Information Processing Systems,2021,1
185,Advances in Neural Information Processing Systems,2022,1
186,Advances in Neural Information Processing Systems,2023,1
187,Advances in Neural Information Processing Systems (NeurIPS),2023,2
188,Advances in Neural Information Processing Systems (NeurIPS),2018,1
189,Advances in Neural Information Processing Systems (NeurIPS),2021,1
190,Advances in Neural Information Processing Systems (NeurIPS),2022,1
191,Asiacrypt 2020 - 26th Annual International Conference on the Theory and Application of Cryptology and Information Security,2020,5
192,CCS 2021 - ACM SIGSAC Conference on Computer and Communications Security,2021,4
193,CCS 2021 - ACM SIGSAC Conference on Computer and Communications Security,2022,1
194,CHI '20 - 38th SIGCHI conference on Human Factors in computing systems,2020,5
195,CMSB 2020 - 18th International Conference on Computational Methods in Systems Biology,2020,5
196,CMStatistics 2021 - 14th International Conference of the ERCIM WG on Computational and Methodological Statistics,2021,5
197,"COMPAS 2021 - Conférence francophone d'informatique en Parallélisme, Architecture et Système",2021,5
198,CVPR 2018 - IEEE Conference on Computer Vision and Pattern Recognition,2018,5
199,CVPR 2019 - IEEE Computer Vision and Pattern Recognition Conference,2019,5
200,"DATE 2019 - 22nd IEEE/ACM Design, Automation and Test in Europe",2019,5
201,ECC 2018 - 16th European Control Conference,2018,5
202,ECCV 2020 - European Conference on Computer Vision,2020,5
203,EUSIPCO 2023 - 31st European Signal Processing Conference,2023,5
204,FSCD 2023 - 8th International Conference on Formal Structures for Computation and Deduction,2023,5
205,Finite Volumes for Complex Applications IX,2020,5
206,GECCO 2023 - Genetic and Evolutionary Computation Conference,2023,5
207,GRETSI 2019 - XXVIIème Colloque francophonede traitement du signal et des images,2019,5
208,"ICALP 2019 - 46th International Colloquium on Automata, Languages and Programming",2019,5
