,journalId_i,journalTitle_s,structId_i,docType_s,publicationDateY_i
75,121288,Nature Human Behaviour,"[568791, 198056, 441569, 530691, 527033, 198056, 303091, 441569, 416594, 134741, 1050010, 118511, 300009, 1050003, 411575, 419361, 441569, 1050003, 411575, 419361, 441569]",ART,2020
76,133816,JAMA Network Open,"[414766, 300068, 323236, 12089, 179009, 312432, 300068, 161272, 105160, 1057398, 301327, 474972, 174750, 93263, 474972, 475892, 300147, 455934, 300122, 93187, 300170, 425779, 357391, 301327, 1092620, 419153, 300009, 1092618, 490899, 105160, 117606, 172265, 247362, 300009, 411575, 441569, 481355, 179009, 300093]",ART,2022
77,87743,BMJ Open,"[1004814, 300068, 300119, 300068, 353414, 303623, 557826, 1059594, 300119, 300068, 353414, 1067737, 454310, 300009, 1004777, 110691, 564132, 303623, 413221, 557826, 300556, 555286, 433319, 524288, 312432, 300068, 151939, 301358, 475859, 300147, 455934, 300128, 300068, 300093, 323839, 410109, 215248, 300068, 300128, 300068, 300199, 1084791, 474972, 1007456, 302301, 1080996, 529829, 362016, 300924, 380168, 1193245, 300535, 533000, 300258, 300535, 366262, 417765, 352374, 1083094, 301088, 192636, 300113, 559503, 300119, 300068, 353414, 1004777, 110691, 564132, 303623, 413221, 557826]",ART,2024
78,135904,JAMA Surgery,"[300068, 1067737, 454310, 300009, 1004777, 110691, 564132, 303623, 413221, 557826, 1004814, 300068, 300119, 300068, 353414, 303623, 557826, 433319, 301439]",ART,2022
79,67823,Nature Communications,"[441218, 46674, 542174, 301492, 564132, 413221, 454310, 300009, 1004921, 413221, 441569, 557826, 1136774, 59704]",ART,2018
80,67823,Nature Communications,"[92863, 106588, 419153, 300009, 580753, 301888, 413221, 441569, 552964, 301888, 303623, 341038, 441569, 160918, 264036]",ART,2020
81,87743,BMJ Open,"[179516, 34586, 300009]",ART,2022
82,67823,Nature Communications,"[220073, 420786, 219689, 104751, 300009, 476572, 259761, 302259, 303623, 476572, 259761, 302259, 303623, 2771, 91134, 300122, 303623, 441569, 1087128, 67872, 217395, 303623, 410122, 1175215, 218071, 167065, 302692, 303623, 450871, 550439, 366262, 1052284, 303623, 258773, 300122]",ART,2020
83,67823,Nature Communications,"[1090800, 300027, 454310, 300009, 557826]",ART,2021
84,67823,Nature Communications,"[106189, 300166, 301247, 303623, 374570, 425779, 441569, 1040364, 300166, 301247, 303623, 374570, 425779, 441569, 410272, 120930, 374570, 441569, 221576, 374570, 425779, 128611, 32, 374570, 441569, 92973, 104752, 300009, 221576, 374570, 425779, 355607]",ART,2021
85,17322,Nature Neuroscience,"[305057, 262268, 134741, 302250, 250023, 134741, 1002355, 200225, 300298, 441569, 577435, 44261, 566986, 481816, 40416, 419361, 441569, 487601, 465913, 300016, 83432, 5247, 173978, 302729, 301506, 142399, 452398, 567057, 300875, 22205, 302851, 327272, 303425, 523006, 352867, 300856, 354552, 4177, 51214, 209475, 237843, 311714, 327716, 333455, 331576, 407023, 303369, 203013, 3447, 29479, 46674, 259521, 209475, 318728, 301990, 573150, 120654, 1148946, 302308, 194495, 301088, 533514, 300461, 343003, 329903, 1150306, 311564, 309388, 40417, 419361, 487603, 300016, 559254, 1065644, 61277, 408885, 303623, 1042703, 73956, 542604, 193445, 1095068, 130467, 1043080, 2497, 300009, 1043077, 300009, 441569, 1042703, 1043329, 1042703, 148574, 308165, 1043350, 1043333, 441569, 1042703, 1043329, 1042703, 1043351, 1043333, 441569, 1042703, 1043329, 1042703, 5460, 51335, 194495, 301088, 257328, 300074, 300284, 303623, 441569, 1042703, 1178743, 250752, 93273, 40416, 419361, 441569, 487601, 465913, 441569, 97916, 325710, 355521, 83934, 325272, 1178752, 533503, 300722, 1063704, 303623, 1063463, 219995, 301503, 25887, 300612, 417362, 302729, 309442, 130467, 300074]",ART,2023
86,67823,Nature Communications,"[1001887, 6818, 194495, 301088, 441569, 577435, 1096085, 1001887, 6818, 194495, 301088, 441569, 577435, 1096051, 300009]",ART,2023
