,Conference,Publication Date,Team Acronym,Publication Count
167,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,EPICURE,2
168,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,CAMUS,1
169,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,PROSECCO,1
170,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,CAMBIUM,1
171,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,PARTOUT,1
172,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,SPADES,1
173,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,DEDUCTEAM,1
174,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,TOCCATA,1
175,JFLA 2023 - 34èmes Journées Francophones des Langages Applicatifs,2023,SYCOMORES,1
176,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,Thoth,3
177,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,PANAMA,2
178,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,ABS,1
179,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,MODAL,1
180,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,SEQUEL,1
181,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,CASCADE,1
182,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,SIERRA,1
183,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,CELESTE,1
184,NeurIPS 2019 - Thirty-third Conference on Neural Information Processing Systems,2019,POLARIS,1
185,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,SIERRA,5
186,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,CoML,2
187,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,PARIETAL,1
188,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,Flowers,1
189,NeurIPS 2022 - Thirty-sixth Conference on Neural Information Processing Systems,2022,MAGNET,1
